0,1
一般規格 GENERAL SPECIFICATION,一般規格 GENERAL SPECIFICATION
品牌,Apple
發表日期,約 2018 年 9 月
推出日期,約 2018 年 9 月
價格,"約 HK$7,400更新日期：2020-02-06"
網絡系統,FDD‑LTE (頻段 1、2、3、4、5、7、8、12、13、14、17、18、19、20、25、26、29、30、32、66、71) TD-LTE (頻段 34、38、39、40、41、46) TD-SCDMA 1900 (F)、2000 (A) CDMA EV-DO Rev. A (800、1900 MHz) UMTS/HSPA+/DC-HSDPA (850、900、1700/2100、1900、2100 MHz) GSM/EDGE (850、900、1800、1900 MHz)
Sim 咭情況,雙咭雙待 雙 nano SIM 組合
操作系統,iOS
中央處理器,A12 Bionic
操作系統及版本,IOS 12
機身顏色,灰、金、銀
尺寸,157.5 X 77.4 X 7.7 mm
重量,208 gram
操控,輕觸式
電池種類,3174 mAh
可更換電池,不支援
通話時間,最長可達 20 小時
備用時間,-
RAM 容量,4GB
ROM 容量,64GB/256GB/512GB
可擴充記憶,-
螢幕規格 SCREEN SPECIFICATION,螢幕規格 SCREEN SPECIFICATION
螢幕尺寸,6.5 吋
螢幕類別,OLED
螢幕解像度,2688 x 1242
相機規格 CAMERA SPECIFICATION,相機規格 CAMERA SPECIFICATION
數碼相機,支援
像素,雙鏡頭 1200 萬像素
自動對焦,支援
光學防震,支援
光學變焦,2 X
數碼變焦,10X
視像鏡頭,700 萬像素
閃光燈,LED
相機功能,光學影像防震雙鏡頭 2 倍光學變焦放大；多達 10 倍數碼變焦 原色調閃光燈配備慢速同步模式 人像模式具備先進的散景效果及景深控制功能 人像燈光具備六款不同效果 (自然光、影樓燈光、輪廓光、舞台燈光、黑白舞台燈光、高色調黑白燈光) 相片智慧型 HDR 設定
短片拍攝,MP4
短片解像度,4K
多媒體功能 MULTIMEDIA SPECIFICATION,多媒體功能 MULTIMEDIA SPECIFICATION
音樂播放格式,AAC-LC、HE-AAC、HE-AAC v2、版權保護的 AAC、MP3、Linear PCM、Apple 無損壓縮、FLAC、杜比數碼 (AC-3)、杜比數碼+ (E-AC-3) 及 Audible (格式 2、3、4、Audible Enhanced
短片播放格式,HEVC、H.264、MPEG-4 Part 2 及 Motion JPEG
收音機,不支援
串流播放格式,支援
聲控功能,支援
來電提示,震動提示 / 來電響鈴 /
Apps 下載,App Store
連接 CONNECTIVITY,連接 CONNECTIVITY
NFC,支援
藍牙支援,藍牙 5.0 無線技術
紅外線支援,不支援
流動數據,"LTE,HSDPA, HSUPA, UMTS, EDGE(EGPRS), GPRS /"
wifi 功能,Wi-Fi 802.11 a/b/g/n/ac 2.4/5GH
gps 功能,(A-GPS)、GLONASS 定位系統、伽利略定位系統 (Ga
電腦連線,Lightning
視頻輸出,-
附加資料 MORE INFORMATION,附加資料 MORE INFORMATION
指紋功能,不支援
備註,支援 FACE ID 人而識別功能、無線充電功能、IP68 防水
